x;y;V
680584;7181922;701
680584;7184094;702
680584;7184473;703
680585;7184662;704
680589;7183283;705
680592;7181066;706
680602;7182855;707
680602;7183240;708
680606;7184019;709
680609;7182446;710
680609;7183631;711
680610;7182191;712
680613;7183532;713
680616;7181444;714
680616;7183197;715
680617;7181269;716
680618;7184747;717
680620;7181120;718
680626;7183345;719
680628;7183484;720
680629;7182769;721
680630;7183148;722
680633;7182353;723
680635;7181849;724
680637;7183923;725
680639;7183541;726
680640;7183447;727
680640;7184112;728
680640;7184302;729
680640;7184680;730
680641;7182572;731
680641;7184492;732
680647;7181938;733
680652;7183407;734
680655;7181171;735
680655;7183867;736
680657;7182684;737
680659;7182000;738
680663;7184612;739
680664;7183838;740
680668;7183358;741
680669;7182462;742
680670;7182206;743
680672;7181944;744
680673;7181944;745
680674;7183810;746
680685;7182977;747
680686;7182599;748
680686;7184696;749
680687;7183364;750
680688;7181224;751
680689;7184046;752
680692;7183753;753
680693;7182368;754
680693;7184130;755
680697;7184321;756
680698;7180931;757
680698;7184510;758
680701;7181864;759
680701;7183321;760
680703;7181497;761
680704;7184682;762
680706;7183563;763
680707;7183470;764
680711;7183618;765
680713;7181954;766
680713;7182890;767
680713;7183696;768
680715;7180966;769
680716;7183279;770
680717;7182016;771
680721;7184631;772
680722;7183513;773
680723;7183667;774
680724;7181276;775
680724;7183948;776
680728;7182476;777
680729;7182221;778
680729;7183648;779
680730;7180995;780
680731;7181959;781
680731;7183236;782
680737;7183626;783
680741;7182805;784
680745;7183600;785
680748;7183436;786
680749;7183385;787
680751;7183187;788
680752;7182382;789
680753;7184149;790
680754;7182621;791
680754;7183573;792
680754;7184339;793
680755;7182760;794
680757;7181891;795
680757;7184521;796
680758;7181049;797
680758;7181328;798
680763;7183343;799
680763;7183389;800
680767;7183961;801
680768;7181747;802
680768;7182721;803
680774;7181808;804
680777;7182031;805
680777;7183299;806
680777;7184074;807
680778;7181970;808
680779;7181970;809
680781;7182682;810
680781;7183492;811
680784;7183909;812
680787;7181105;813
680787;7182236;814
680788;7182491;815
680791;7181973;816
680791;7183256;817
680794;7181380;818
680795;7182633;819
680796;7181868;820
680799;7184534;821
680803;7183590;822
680803;7183852;823
680807;7183017;824
680807;7183204;825
680809;7183975;826
680810;7183404;827
680811;7182398;828
680811;7184357;829
680812;7181918;830
680812;7183794;831
680812;7184169;832
680813;7182638;833
680815;7181160;834
680821;7183797;835
680822;7183363;836
680828;7181432;837
680830;7181926;838
680830;7183509;839
680831;7183736;840
680834;7184364;841
680835;7183318;842
680836;7182045;843
680843;7181215;844
680846;7182506;845
680847;7182251;846
680847;7183688;847
680848;7183275;848
680849;7181660;849
680849;7181988;850
680850;7180894;851
680862;7181485;852
680862;7183572;853
680862;7184186;854
680863;7183035;855
680863;7183223;856
680863;7183638;857
680864;7182845;858
680864;7183423;859
680870;7182412;860
680871;7183613;861
680872;7181272;862
680872;7182658;863
680873;7184107;864
680874;7180923;865
680876;7182800;866
680878;7183525;867
680881;7184192;868
680882;7184316;869
680884;7182612;870
680887;7181549;871
680889;7182760;872
680891;7183482;873
680892;7184002;874
680894;7182061;875
680895;7182061;876
680900;7181326;877
680901;7182722;878
680901;7183947;879
680901;7184199;880
680904;7180975;881
680906;7181601;882
680906;7182265;883
680906;7182521;884
680907;7184453;885
680908;7183237;886
680909;7182002;887
680909;7183438;888
680910;7183584;889
680912;7183888;890
680917;7182673;891
680918;7182863;892
680920;7183054;893
680922;7183830;894
680923;7183538;895
680927;7181380;896
680927;7183243;897
680929;7181975;898
680929;7182427;899
680929;7184502;900
680932;7183391;901
680933;7183769;902
680934;7184019;903
680935;7181030;904
680935;7183155;905
680938;7184313;906
680939;7182625;907
680940;7182529;908
680942;7183719;909
680946;7183250;910
680947;7184538;911
680950;7183336;912
680950;7183667;913
680952;7182482;914
680952;7182952;915
680954;7182075;916
680955;7184217;917
680956;7181436;918
680962;7182435;919
680963;7181085;920
680963;7183299;921
680963;7183596;922
680963;7183644;923
680966;7182280;924
680966;7182536;925
680966;7183838;926
680967;7184438;927
680969;7182017;928
680973;7182881;929
680973;7183167;930
680974;7183553;931
680975;7182691;932
680975;7183259;933
680975;7183648;934
680976;7184483;935
680978;7181493;936
680981;7181523;937
680984;7183262;938
680986;7183508;939
680988;7183464;940
680988;7184028;941
680990;7181140;942
680990;7181590;943
680990;7182637;944
680993;7183408;945
680993;7184477;946
680996;7183658;947
680998;7182968;948
680999;7181652;949
681000;7182290;950
681000;7184314;951
681001;7184411;952
681002;7183360;953
681006;7184372;954
681007;7181714;955
681008;7184236;956
681008;7184615;957
681011;7182243;958
681011;7183179;959
681011;7183313;960
681012;7184313;961
681013;7182393;962
681014;7182090;963
